"","gene","Freq"
"32750","ANP32B",7
"32754","ANP32E",7
"32755","ANPEP",7
"32760","ANXA1",7
"32762","ANXA11",7
"32763","ANXA13",7
"32764","ANXA2",7
"32769","ANXA3",7
"32770","ANXA4",7
"32771","ANXA5",7
"32772","ANXA6",7
"32773","ANXA7",7
"32776","ANXA9",7
"32777","AOAH",7
"32779","AOC1",7
"32780","AOC2",7
"32781","AOC3",7
"32784","AOX1",7
"32863","AP1B1",7
"32864","AP1G1",7
"32868","AP1S1",7
"32869","AP1S2",7
"32872","AP2A2",7
"32873","AP2B1",7
"32874","AP2M1",7
"32875","AP2S1",7
"32876","AP3B1",7
"32878","AP3D1",7
"32880","AP3M2",7
"32885","AP4E1",7
"32886","AP4M1",7
"32887","AP4S1",7
"32893","APBA1",7
"32894","APBA2",7
"32895","APBA3",7
"32896","APBB1",7
"32898","APBB2",7
"32899","APBB3",7
"32900","APC",7
"32901","APC2",7
"32908","APEX1",7
"32909","APEX2",7
"32912","API5",7
"32917","APLNR",7
"32918","APLP1",7
"32919","APLP2",7
"32925","APOB",7
"32934","APOBEC3G",7
"32939","APOC3",7
"32942","APOD",7
"32943","APOE",7
"32945","APOH",7
"32946","APOL1",7
"32955","APOOL",7
"32957","APP",7
"32958","APPBP2",7
"32961","APRT",7
"32963","APTX",7
"32964","AQP1",7
"32967","AQP3",7
"32970","AQP5",7
"32971","AQP6",7
"32979","AQP9",7
"32980","AQR",7
"32981","AR",7
"32982","ARAF",7
"32985","ARAP2",7
"32987","ARC",7
"32988","ARCN1",7
"32990","AREL1",7
"32991","ARF1",7
"32992","ARF3",7
"32993","ARF4",7
"32995","ARF6",7
"32997","ARFGAP2",7
"32998","ARFGAP3",7
"32999","ARFGEF1",7
"33000","ARFGEF2",7
"33002","ARFIP1",7
"33003","ARFIP2",7
"33004","ARFRP1",7
"33009","ARHGAP1",7
"33012","ARHGAP12",7
"33016","ARHGAP19",7
"33019","ARHGAP22",7
"33022","ARHGAP25",7
"33023","ARHGAP26",7
"33029","ARHGAP29",7
"33033","ARHGAP32",7
"33034","ARHGAP33",7
"33035","ARHGAP35",7
"33037","ARHGAP4",7
"33040","ARHGAP44",7
"33044","ARHGAP6",7
"33047","ARHGDIA",7
"33048","ARHGDIB",7
"33050","ARHGEF1",7
"33051","ARHGEF10",7
"33053","ARHGEF11",7
"33054","ARHGEF12",7
"33055","ARHGEF15",7
"33056","ARHGEF16",7
"33057","ARHGEF17",7
"33058","ARHGEF18",7
"33060","ARHGEF2",7
"33072","ARHGEF4",7
"33074","ARHGEF5",7
"33075","ARHGEF6",7
"33076","ARHGEF7",7
"33077","ARHGEF9",7
"33078","ARID1A",7
"33081","ARID3A",7
"33083","ARID4A",7
"33084","ARID4B",7
"33085","ARID5A",7
"33086","ARID5B",7
"33087","ARIH1",7
"33088","ARIH2",7
"33090","ARL1",7
"33102","ARL3",7
"33106","ARL4C",7
"33107","ARL4D",7
"33111","ARL6IP1",7
"33113","ARL6IP5",7
"33116","ARL8B",7
"33125","ARMC6",7
"33127","ARMC8",7
"33130","ARMCX2",7
"33139","ARNT",7
"33140","ARNT2",7
"33141","ARNTL",7
"33145","ARPC2",7
"33148","ARPC4",7
"33150","ARPC5",7
"33154","ARPP19",7
"33156","ARR3",7
"33158","ARRB2",7
"33166","ARSA",7
"33167","ARSB",7
"33168","ARSD",7
"33180","ART4",7
"33181","ARTN",7
"33183","ARVCF",7
"33185","ASAH1",7
"33192","ASB1",7
"33205","ASB9",7
"33208","ASCC2",7
"33209","ASCC3",7
"33213","ASF1A",7
"33216","ASGR2",7
"33219","ASH2L",7
"33220","ASIC1",7
"33221","ASIC2",7
"33222","ASIC3",7
"33232","ASPA",7
"33235","ASPH",7
"33242","ASRGL1",7
"33251","ASTN2",7
"33254","ASXL1",7
"33256","ASXL3",7
"33259","ATAD2B",7
"33266","ATF1",7
"33267","ATF2",7
"33268","ATF3",7
"33273","ATF5",7
"33274","ATF6",7
"33275","ATF6B",7
"33282","ATG12",7
"33283","ATG13",7
"33284","ATG14",7
"33287","ATG2A",7
"33290","ATG4A",7
"33291","ATG4B",7
"33294","ATG5",7
"33295","ATG7",7
"33298","ATIC",7
"33302","ATM",7
"33303","ATMIN",7
"33304","ATN1",7
"33308","ATOX1",7
"33309","ATP10A",7
"33311","ATP10D",7
"33312","ATP11A",7
"33316","ATP12A",7
"33319","ATP13A3",7
"33321","ATP1A1",7
"33325","ATP1B1",7
"33326","ATP1B2",7
"33327","ATP1B3",7
"33330","ATP2A1",7
"33331","ATP2A2",7
"33332","ATP2A3",7
"33333","ATP2B1",7
"33335","ATP2B2",7
"33336","ATP2B3",7
"33337","ATP2B4",7
"33338","ATP2C1",7
"33339","ATP2C2",7
"33382","ATP6AP1",7
"33384","ATP6AP2",7
"33385","ATP6V0A1",7
"33386","ATP6V0A2",7
"33388","ATP6V0B",7
"33390","ATP6V0D1",7
"33392","ATP6V0E1",7
"33395","ATP6V1A",7
"33398","ATP6V1B2",7
"33399","ATP6V1C1",7
"33401","ATP6V1D",7
"33402","ATP6V1E1",7
"33405","ATP6V1G1",7
"33409","ATP6V1H",7
"33410","ATP7A",7
"33411","ATP7B",7
"33412","ATP8A1",7
"33413","ATP8A2",7
"33418","ATP9A",7
"33419","ATP9B",7
"33421","ATPAF2",7
"33423","ATR",7
"33426","ATRN",7
"33428","ATRX",7
"33429","ATXN1",7
"33430","ATXN10",7
"33432","ATXN2",7
"33433","ATXN2L",7
"33434","ATXN3",7
"33436","ATXN7",7
"33437","ATXN7L1",7
"33440","ATXN7L3B",7
"33442","AUH",7
"33445","AURKA",7
"33449","AURKC",7
"33450","AUTS2",7
"33453","AVIL",7
"33454","AVL9",7
"33457","AVPR1A",7
"33458","AVPR1B",7
"33459","AVPR2",7
"33461","AXIN1",7
"33463","AXL",7
"33467","AZIN1",7
"33471","B2M",7
"33472","B3GALNT1",7
"33481","B3GAT3",7
"33484","B3GNT3",7
"33490","B3GNTL1",7
"33495","B4GALT1",7
"33497","B4GALT2",7
"33498","B4GALT3",7
"33499","B4GALT4",7
"33501","B4GALT5",7
"33502","B4GALT6",7
"33504","B4GAT1",7
"33505","B9D1",7
"33514","BACH1",7
"33517","BAD",7
"33518","BAG1",7
"33519","BAG2",7
"33522","BAG5",7
"33526","BAHD1",7
"33527","BAIAP2",7
"33531","BAIAP3",7
"33535","BAMBI",7
"33541","BAP1",7
"33542","BARD1",7
"33544","BARX2",7
"33545","BASP1",7
"33547","BATF",7
"33550","BAX",7
"33551","BAZ1A",7
"33552","BAZ1B",7
"33553","BAZ2A",7
"33554","BAZ2B",7
"33555","BBC3",7
"33556","BBIP1",7
"33558","BBOX1",7
"33564","BBS4",7
"33567","BBS9",7
"33568","BBX",7
"33569","BCAM",7
"33574","BCAR3",7
"33575","BCAS1",7
"33576","BCAS2",7
"33579","BCAT1",7
"33580","BCAT2",7
"33584","BCHE",7
"33586","BCKDHB",7
"33587","BCKDK",7
"33588","BCL10",7
"33589","BCL11A",7
"33591","BCL2",7
"33593","BCL2L1",7
"33595","BCL2L11",7
"33600","BCL2L2",7
"33601","BCL3",7
"33602","BCL6",7
"33604","BCL7A",7
"33605","BCL7B",7
"33607","BCL9",7
"33609","BCLAF1",7
"33621","BCS1L",7
"33622","BDH1",7
"33625","BDKRB2",7
"33638","BEST1",7
"33640","BET1",7
"33645","BEX4",7
"33651","BGN",7
"33654","BHLHE40",7
"33657","BHMT",7
"33659","BICC1",7
"33660","BICD1",7
"33661","BICD2",7
"33662","BICDL1",7
"33666","BID",7
"33667","BIK",7
"33668","BIN1",7
"33672","BIRC2",7
