"","gene","Freq"
"391","ALDH3B1",3
"393","ALDH4A1",3
"394","ALDH5A1",3
"395","ALDH6A1",3
"396","ALDH7A1",3
"397","ALDH8A1",3
"398","ALDH9A1",3
"400","ALDOB",3
"403","ALG13",3
"404","ALG3",3
"405","ALG5",3
"406","ALG6",3
"407","ALG8",3
"409","ALK",3
"410","ALKBH1",3
"411","ALKBH4",3
"413","ALMS1",3
"415","ALOX12B",3
"418","ALOX15B",3
"419","ALOX5",3
"420","ALOX5AP",3
"421","ALOXE3",3
"422","ALPI",3
"423","ALPK3",3
"424","ALPL",3
"425","ALPP",3
"427","ALS2CL",3
"428","ALX1",3
"430","ALX4",3
"431","AMBN",3
"432","AMBP",3
"433","AMBRA1",3
"434","AMD1",3
"435","AMDHD2",3
"438","AMFR",3
"439","AMH",3
"440","AMHR2",3
"441","AMIGO2",3
"442","AMMECR1",3
"443","AMOT",3
"446","AMPD2",3
"447","AMPD3",3
"448","AMPH",3
"450","AMZ2",3
"452","ANAPC13",3
"454","ANAPC2",3
"455","ANAPC5",3
"457","ANGEL1",3
"458","ANGEL2",3
"459","ANGPT1",3
"461","ANGPT4",3
"462","ANGPTL2",3
"463","ANGPTL3",3
"464","ANGPTL4",3
"465","ANGPTL7",3
"466","ANGPTL8",3
"467","ANK1",3
"468","ANK2",3
"469","ANK3",3
"471","ANKFY1",3
"472","ANKH",3
"474","ANKLE2",3
"476","ANKMY2",3
"477","ANKRA2",3
"479","ANKRD10",3
"480","ANKRD11",3
"481","ANKRD12",3
"482","ANKRD17",3
"483","ANKRD2",3
"484","ANKRD26",3
"485","ANKRD27",3
"486","ANKRD28",3
"489","ANKRD46",3
"490","ANKRD49",3
"491","ANKRD55",3
"492","ANKRD6",3
"494","ANKS1A",3
"496","ANKZF1",3
"498","ANO10",3
"499","ANO2",3
"501","ANOS1",3
"502","ANP32A",3
"504","ANP32B",3
"507","ANP32E",3
"508","ANPEP",3
"509","ANTXR1",3
"510","ANXA1",3
"511","ANXA10",3
"512","ANXA11",3
"513","ANXA13",3
"514","ANXA2",3
"518","ANXA3",3
"519","ANXA4",3
"520","ANXA5",3
"521","ANXA6",3
"522","ANXA7",3
"523","ANXA9",3
"524","AOAH",3
"525","AOC1",3
"526","AOC2",3
"527","AOC3",3
"529","AOX1",3
"530","AP1AR",3
"531","AP1B1",3
"532","AP1G1",3
"534","AP1M2",3
"535","AP1S1",3
"536","AP1S2",3
"537","AP2A2",3
"538","AP2B1",3
"539","AP2M1",3
"540","AP2S1",3
"541","AP3B1",3
"543","AP3D1",3
"544","AP3M2",3
"545","AP4E1",3
"546","AP4M1",3
"547","AP4S1",3
"548","AP5M1",3
"549","AP5S1",3
"550","AP5Z1",3
"551","APAF1",3
"552","APBA1",3
"553","APBA2",3
"554","APBA3",3
"555","APBB1",3
"556","APBB1IP",3
"557","APBB2",3
"558","APBB3",3
"559","APC",3
"560","APC2",3
"561","APCS",3
"562","APEH",3
"563","APEX1",3
"564","APEX2",3
"565","APH1A",3
"566","APH1B",3
"567","API5",3
"569","APLNR",3
"570","APLP1",3
"571","APLP2",3
"572","APMAP",3
"576","APOB",3
"578","APOBEC2",3
"583","APOBEC3G",3
"584","APOBR",3
"587","APOC3",3
"588","APOD",3
"589","APOE",3
"591","APOH",3
"592","APOL1",3
"593","APOL2",3
"594","APOL3",3
"595","APOL5",3
"596","APOL6",3
"597","APOLD1",3
"598","APOM",3
"599","APOO",3
"600","APOOL",3
"601","APP",3
"602","APPBP2",3
"603","APPL1",3
"604","APPL2",3
"605","APRT",3
"606","APTX",3
"607","AQP1",3
"609","AQP3",3
"611","AQP5",3
"612","AQP6",3
"613","AQP8",3
"614","AQP9",3
"615","AQR",3
"616","AR",3
"617","ARAF",3
"619","ARAP2",3
"620","ARAP3",3
"621","ARC",3
"622","ARCN1",3
"624","AREL1",3
"625","ARF1",3
"626","ARF3",3
"627","ARF4",3
"629","ARF6",3
"630","ARFGAP1",3
"631","ARFGAP2",3
"632","ARFGAP3",3
"633","ARFGEF1",3
"634","ARFGEF2",3
"635","ARFIP1",3
"636","ARFIP2",3
"637","ARFRP1",3
"640","ARGLU1",3
"641","ARHGAP1",3
"642","ARHGAP10",3
"644","ARHGAP12",3
"645","ARHGAP15",3
"646","ARHGAP17",3
"647","ARHGAP19",3
"648","ARHGAP22",3
"649","ARHGAP24",3
"650","ARHGAP25",3
"651","ARHGAP26",3
"652","ARHGAP28",3
"653","ARHGAP29",3
"654","ARHGAP32",3
"655","ARHGAP33",3
